zzz ***Sat Mar 6 11:22:08 EST 2021
Netid  State      Recv-Q  Send-Q                                  Local Address:Port                                        Peer Address:Port                                                                                                   
nl     UNCONN     0       0                                                   0:1483                                                    *                        sk=0 cb=0 groups=0x000405d9                                                    
nl     UNCONN     0       0                                                   0:11036                                                   *                        sk=0 cb=0 groups=0x00000001                                                    
nl     UNCONN     0       0                                                   0:0                                                       *                        sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN     0       0                                                   0:1411                                                    *                        sk=0 cb=0 groups=0x00020ff8                                                    
nl     UNCONN     0       0                                                   0:1496                                                    *                        sk=0 cb=0 groups=0x00000111                                                    
nl     UNCONN     0       0                                                   0:11036                                                   *                        sk=0 cb=0 groups=0x00000001                                                    
nl     UNCONN     0       0                                                   0:1483                                                    *                        sk=0 cb=0 groups=0x000405d9                                                    
nl     UNCONN     0       0                                                   0:1496                                                    *                        sk=0 cb=0 groups=0x00000111                                                    
nl     UNCONN     0       0                                                   0:1411                                                    *                        sk=0 cb=0 groups=0x00020ff8                                                    
nl     UNCONN     768     0                                                   4:0                                                       *                        sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN     4352    0                                                   4:12176                                                   *                        sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN     0       0                                                   7:0                                                       *                        sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN     0       0                                                   9:1149                                                    *                        sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN     0       0                                                   9:0                                                       *                        sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN     0       0                                                   9:32528                                                   *                        sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN     0       0                                                  10:0                                                       *                        sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN     0       0                                                  11:0                                                       *                        sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN     0       0                                                  15:0                                                       *                        sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN     0       0                                                  15:4242                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:1554                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:-1259482182                                             *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:-750177229                                              *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:4323                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:2954                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:-343929291                                              *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:1618                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:-979305574                                              *                        sk=0 cb=0 groups=0x00000001                                                    
nl     UNCONN     0       0                                                  15:1                                                       *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:4115                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:4462                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:1483                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:2228                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:-1860219568                                             *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:-1534655749                                             *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:-762555211                                              *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:3005                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:4364                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:2947                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:-979305574                                              *                        sk=0 cb=0 groups=0x00000001                                                    
nl     UNCONN     0       0                                                  15:1                                                       *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:4323                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:4462                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:4364                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:-762555211                                              *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:4242                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:4115                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:3005                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:2954                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:2947                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:2228                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:1618                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:-1259482182                                             *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:-1534655749                                             *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:-343929291                                              *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:-750177229                                              *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:-1860219568                                             *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:1554                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:1483                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  16:2130717468                                              *                        sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN     0       0                                                  16:-281007332                                              *                        sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN     0       0                                                  16:0                                                       *                        sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN     0       0                                                  16:1483                                                    *                        sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN     0       0                                                  16:-998233316                                              *                        sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN     0       0                                                  16:-1849677028                                             *                        sk=0 cb=0 groups=0x000001e0                                                    
nl     UNCONN     0       0                                                  16:-1849677028                                             *                        sk=0 cb=0 groups=0x000001e0                                                    
nl     UNCONN     0       0                                                  18:0                                                       *                        sk=0 cb=0 groups=0x00000000                                                    
p_dgr  UNCONN     0       0                                                 [0]:*                                                       *                        users:(("wpa_supplicant",pid=11036,fd=12)) ino:5760781 sk:1c3
	ver:0 cpy_thresh:0 flags( 0 )
p_dgr  UNCONN     0       0                                             [35085]:wlan0                                                   *                        users:(("wpa_supplicant",pid=11036,fd=14)) ino:5760789 sk:1c4
	ver:0 cpy_thresh:0 flags( running )
p_dgr  UNCONN     0       0                                             [34958]:wlan0                                                   *                        users:(("wpa_supplicant",pid=11036,fd=13)) ino:9923609 sk:6af
	ver:0 cpy_thresh:0 flags( running )
u_str  LISTEN     0       128                              @/tmp/.ICE-unix/4315 63524                                                  * 0                       users:(("ksmserver",pid=4315,fd=12)) <-> peers:                                
u_str  LISTEN     0       128                         /run/user/501/kdeinit5__0 63496                                                  * 0                       users:(("kdeinit5",pid=4275,fd=7)) <-> ino:63497 dev:0/68 peers:               
u_str  LISTEN     0       128                          /run/lvm/lvmpolld.socket 5725965                                                * 0                       users:(("systemd",pid=1,fd=179)) <-> ino:5725966 dev:0/25 peers:               
u_str  LISTEN     0       128                              /var/run/nscd/socket 38929                                                  * 0                       users:(("nscd",pid=1411,fd=16)) <-> ino:38930 dev:0/25 peers:                  
u_str  LISTEN     0       128                                @/tmp/.X11-unix/X0 57648                                                  * 0                       users:(("X",pid=4242,fd=5)) <-> peers:                                         
u_str  LISTEN     0       1                                @irqbalance1398.sock 30997                                                  * 0                       users:(("irqbalance",pid=1398,fd=5)) <-> peers:                                
u_str  LISTEN     0       128                               /run/cups/cups.sock 5778495                                                * 0                       users:(("cupsd",pid=20556,fd=3),("systemd",pid=1,fd=180)) <-> ino:5778496 dev:0/25 peers:
u_dgr  UNCONN     0       0                          /run/user/0/systemd/notify 32578                                                  * 0                       users:(("systemd",pid=2228,fd=14)) <-> ino:32579 dev:0/62                      
u_str  LISTEN     0       128                       /run/user/0/systemd/private 32582                                                  * 0                       users:(("systemd",pid=2228,fd=17)) <-> ino:32583 dev:0/62 peers:               
u_str  LISTEN     0       5            /run/uscreens/S-rich/32140.pts-1.proxima 8552011                                                * 0                       users:(("screen",pid=32140,fd=4)) <-> ino:8552012 dev:0/25 peers:              
u_str  LISTEN     0       128                                   /run/user/0/bus 32587                                                  * 0                       users:(("dbus-daemon",pid=2878,fd=3),("systemd",pid=2228,fd=22)) <-> ino:32588 dev:0/62 peers:
u_str  LISTEN     0       5                              /run/user/0/pipewire-0 32589                                                  * 0                       users:(("systemd",pid=2228,fd=24)) <-> ino:32590 dev:0/62 peers:               
u_dgr  UNCONN     0       0                                 /run/systemd/notify 20062                                                  * 0                       users:(("systemd",pid=1,fd=24)) <-> ino:20063 dev:0/25                         
u_dgr  UNCONN     0       0                        /run/systemd/journal/dev-log 20076                                                  * 0                       users:(("systemd-journal",pid=11264,fd=5),("systemd",pid=1,fd=156)) <-> ino:20078 dev:0/25
u_str  LISTEN     0       128                                 /run/rpcbind.sock 85614                                                  * 0                       users:(("rpcbind",pid=9106,fd=3),("systemd",pid=1,fd=43)) <-> ino:85615 dev:0/25 peers:
u_str  LISTEN     0       128                       /run/systemd/journal/stdout 20080                                                  * 0                       users:(("systemd-journal",pid=11264,fd=3),("systemd",pid=1,fd=176)) <-> ino:20081 dev:0/25 peers:
u_dgr  UNCONN     0       0                        /var/run/chrony/chronyd.sock 29298                                                  * 0                       users:(("chronyd",pid=1559,fd=3)) <-> ino:29299 dev:0/25                       
u_dgr  UNCONN     0       0                         /run/systemd/journal/socket 20082                                                  * 0                       users:(("systemd-journal",pid=11264,fd=4),("systemd",pid=1,fd=177)) <-> ino:20083 dev:0/25
u_str  LISTEN     0       100                                    public/cleanup 5658559                                                * 0                       users:(("master",pid=12165,fd=21)) <-> ino:158606 dev:0/60 peers:              
u_str  LISTEN     0       100                                   private/rewrite 5658564                                                * 0                       users:(("master",pid=12165,fd=27)) <-> ino:158608 dev:0/60 peers:              
u_str  LISTEN     0       100                                    private/bounce 5658567                                                * 0                       users:(("master",pid=12165,fd=30)) <-> ino:158609 dev:0/60 peers:              
u_str  LISTEN     0       100                                     private/defer 5658570                                                * 0                       users:(("master",pid=12165,fd=33)) <-> ino:158610 dev:0/60 peers:              
u_str  LISTEN     0       100                                     private/trace 5658573                                                * 0                       users:(("master",pid=12165,fd=36)) <-> ino:158611 dev:0/60 peers:              
u_str  LISTEN     0       100                                    private/verify 5658576                                                * 0                       users:(("master",pid=12165,fd=39)) <-> ino:158612 dev:0/60 peers:              
u_str  LISTEN     0       100                                      public/flush 5658579                                                * 0                       users:(("master",pid=12165,fd=42)) <-> ino:158613 dev:0/60 peers:              
u_str  LISTEN     0       100                                  private/proxymap 5658582                                                * 0                       users:(("master",pid=12165,fd=45)) <-> ino:158614 dev:0/60 peers:              
u_str  LISTEN     0       100                                private/proxywrite 5658585                                                * 0                       users:(("master",pid=12165,fd=48)) <-> ino:158615 dev:0/60 peers:              
u_str  LISTEN     0       100                                      private/smtp 5658588                                                * 0                       users:(("master",pid=12165,fd=51)) <-> ino:158616 dev:0/60 peers:              
u_str  LISTEN     0       100                                     private/relay 5658591                                                * 0                       users:(("master",pid=12165,fd=54)) <-> ino:158617 dev:0/60 peers:              
u_str  LISTEN     0       100                                      public/showq 5658594                                                * 0                       users:(("master",pid=12165,fd=57)) <-> ino:158618 dev:0/60 peers:              
u_str  LISTEN     0       100                                     private/error 5658597                                                * 0                       users:(("master",pid=12165,fd=60)) <-> ino:158619 dev:0/60 peers:              
u_str  LISTEN     0       100                                     private/retry 5658600                                                * 0                       users:(("master",pid=12165,fd=63)) <-> ino:158620 dev:0/60 peers:              
u_str  LISTEN     0       100                                   private/discard 5658603                                                * 0                       users:(("master",pid=12165,fd=66)) <-> ino:158621 dev:0/60 peers:              
u_str  LISTEN     0       100                                     private/local 5658606                                                * 0                       users:(("master",pid=12165,fd=69)) <-> ino:158622 dev:0/60 peers:              
u_str  LISTEN     0       100                                   private/virtual 5658609                                                * 0                       users:(("master",pid=12165,fd=72)) <-> ino:158623 dev:0/60 peers:              
u_str  LISTEN     0       100                                      private/lmtp 5658612                                                * 0                       users:(("master",pid=12165,fd=75)) <-> ino:158624 dev:0/60 peers:              
u_str  LISTEN     0       100                                     private/anvil 5658615                                                * 0                       users:(("master",pid=12165,fd=78)) <-> ino:158625 dev:0/60 peers:              
u_str  LISTEN     0       100                                    private/scache 5658618                                                * 0                       users:(("master",pid=12165,fd=81)) <-> ino:158626 dev:0/60 peers:              
u_dgr  UNCONN     0       0                                      public/postlog 5658621                                                * 0                       users:(("master",pid=12165,fd=84)) <-> ino:158627 dev:0/60                     
u_str  LISTEN     0       100                                    private/tlsmgr 5658624                                                * 0                       users:(("master",pid=12165,fd=87)) <-> ino:158628 dev:0/60 peers:              
