zzz ***Sun Mar 7 06:37:57 EST 2021
Netid  State      Recv-Q  Send-Q                                  Local Address:Port                                        Peer Address:Port                                                                                                   
nl     UNCONN     0       0                                                   0:1483                                                    *                        sk=0 cb=0 groups=0x000405d9                                                    
nl     UNCONN     0       0                                                   0:6111                                                    *                        sk=0 cb=0 groups=0x00000111                                                    
nl     UNCONN     0       0                                                   0:11036                                                   *                        sk=0 cb=0 groups=0x00000001                                                    
nl     UNCONN     0       0                                                   0:0                                                       *                        sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN     0       0                                                   0:5492                                                    *                        sk=0 cb=0 groups=0x00020ff8                                                    
nl     UNCONN     0       0                                                   0:6111                                                    *                        sk=0 cb=0 groups=0x00000111                                                    
nl     UNCONN     0       0                                                   0:5492                                                    *                        sk=0 cb=0 groups=0x00020ff8                                                    
nl     UNCONN     0       0                                                   0:11036                                                   *                        sk=0 cb=0 groups=0x00000001                                                    
nl     UNCONN     0       0                                                   0:1483                                                    *                        sk=0 cb=0 groups=0x000405d9                                                    
nl     UNCONN     768     0                                                   4:0                                                       *                        sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN     4352    0                                                   4:2406                                                    *                        sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN     0       0                                                   7:0                                                       *                        sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN     0       0                                                   9:1149                                                    *                        sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN     0       0                                                   9:0                                                       *                        sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN     0       0                                                  10:0                                                       *                        sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN     0       0                                                  11:0                                                       *                        sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN     0       0                                                  15:0                                                       *                        sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN     0       0                                                  15:4242                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:1554                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:-1259482182                                             *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:-750177229                                              *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:4323                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:2954                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:-343929291                                              *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:1618                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:-979305574                                              *                        sk=0 cb=0 groups=0x00000001                                                    
nl     UNCONN     0       0                                                  15:1                                                       *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:4115                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
