zzz ***Sat Mar 6 11:22:12 EST 2021
disk- ------------reads------------ ------------writes----------- -----IO------
       total merged sectors      ms  total merged sectors      ms    cur    sec
sda   175013 101777 47852357  964977 1362749  92245 275906745 1408484      0   1302
sdb    11800    177 1009079   98895 220378  63500 35256056 8946377      0   1378
sdc   110199    391 96020381 1055846 311566  51388 686360138 50598019      0   2238
sdd      466      0   56769     995      0      0       0       0      0      1
sr0        0      0       0       0      0      0       0       0      0      0
dm-0  271226      0 47493248 2672152 1428277      0 274567312 1253364      0   1216
sde      762      0   72504     999      0      0       0       0      0      0
sdf        0      0       0       0      0      0       0       0      0      0
dm-1  111948      0 95964171 1047144 109465      0 686360138 14669216      0   1459
dm-2     336      0    9776     136   1655      0   13224   11576      0      3
dm-3   11313      0  899145   98792 275994      0 37129008 10314468      0   1356
loop0  31518      0 20724350  143834      0      0       0       0      0    144
loop1   1597      0   18940     574      0      0       0       0      0      0
loop2      0      0       0       0      0      0       0       0      0      0
loop3      0      0       0       0      0      0       0       0      0      0
loop4      0      0       0       0      0      0       0       0      0      0
loop5      0      0       0       0      0      0       0       0      0      0
loop6      0      0       0       0      0      0       0       0      0      0
loop7      0      0       0       0      0      0       0       0      0      0
zzz ***Sat Mar 6 11:22:42 EST 2021
disk- ------------reads------------ ------------writes----------- -----IO------
       total merged sectors      ms  total merged sectors      ms    cur    sec
sda   175013 101777 47852357  964977 1362787  92246 275910625 1408532      0   1302
sdb    11800    177 1009079   98895 220400  63506 35256952 8946521      0   1378
sdc   110199    391 96020381 1055846 311566  51388 686360138 50598019      0   2238
sdd      466      0   56769     995      0      0       0       0      0      1
sr0        0      0       0       0      0      0       0       0      0      0
dm-0  271226      0 47493248 2672152 1428309      0 274571112 1253372      0   1216
sde      762      0   72504     999      0      0       0       0      0      0
sdf        0      0       0       0      0      0       0       0      0      0
dm-1  111948      0 95964171 1047144 109465      0 686360138 14669216      0   1459
dm-2     336      0    9776     136   1655      0   13224   11576      0      3
dm-3   11313      0  899145   98792 276026      0 37130080 10314596      0   1356
loop0  31518      0 20724350  143834      0      0       0       0      0    144
loop1   1597      0   18940     574      0      0       0       0      0      0
loop2      0      0       0       0      0      0       0       0      0      0
loop3      0      0       0       0      0      0       0       0      0      0
loop4      0      0       0       0      0      0       0       0      0      0
loop5      0      0       0       0      0      0       0       0      0      0
loop6      0      0       0       0      0      0       0       0      0      0
loop7      0      0       0       0      0      0       0       0      0      0
zzz ***Sat Mar 6 11:23:13 EST 2021
disk- ------------reads------------ ------------writes----------- -----IO------
       total merged sectors      ms  total merged sectors      ms    cur    sec
