zzz ***Sun Mar 7 06:37:57 EST 2021
disk- ------------reads------------ ------------writes----------- -----IO------
       total merged sectors      ms  total merged sectors      ms    cur    sec
sda   208578 101795 50342379  974505 1418066  98968 286327129 1464491      0   1362
sdb    12300    177 1057901   99544 227886  64775 35726264 9052530      0   1430
sdc   110279    391 96037140 1056243 311628  51392 686361251 50599153      0   2240
sdd      557      0   73640    1361      0      0       0       0      0      2
sr0        0      0       0       0      0      0       0       0      0      0
dm-0  303593      0 49873664 2680648 1488275      0 284981816 1312268      0   1271
sde      895      0   91848    1199      0      0       0       0      0      1
sdf        0      0       0       0      0      0       0       0      0      0
dm-1  111951      0 95964195 1047180 109531      0 686361251 14670336      0   1460
dm-2     401      0   11568     172   1655      0   13224   11576      0      3
dm-3   11416      0  902289   99180 284975      0 37621104 10403432      0   1406
loop0  31575      0 20726230  144300      0      0       0       0      0    144
loop1   1597      0   18940     574      0      0       0       0      0      0
loop2      0      0       0       0      0      0       0       0      0      0
loop3      0      0       0       0      0      0       0       0      0      0
loop4      0      0       0       0      0      0       0       0      0      0
loop5      0      0       0       0      0      0       0       0      0      0
loop6      0      0       0       0      0      0       0       0      0      0
loop7      0      0       0       0      0      0       0       0      0      0
zzz ***Sun Mar 7 06:38:27 EST 2021
disk- ------------reads------------ ------------writes----------- -----IO------
       total merged sectors      ms  total merged sectors      ms    cur    sec
sda   208578 101795 50342379  974505 1418078  98969 286331449 1464507      0   1362
sdb    12300    177 1057901   99544 227891  64775 35726312 9052576      0   1430
sdc   110279    391 96037140 1056243 311628  51392 686361251 50599153      0   2240
sdd      557      0   73640    1361      0      0       0       0      0      2
sr0        0      0       0       0      0      0       0       0      0      0
dm-0  303593      0 49873664 2680648 1488287      0 284986136 1312276      0   1271
sde      895      0   91848    1199      0      0       0       0      0      1
sdf        0      0       0       0      0      0       0       0      0      0
dm-1  111951      0 95964195 1047180 109531      0 686361251 14670336      0   1460
dm-2     401      0   11568     172   1655      0   13224   11576      0      3
dm-3   11416      0  902289   99180 284980      0 37621176 10403476      0   1406
loop0  31575      0 20726230  144300      0      0       0       0      0    144
loop1   1597      0   18940     574      0      0       0       0      0      0
loop2      0      0       0       0      0      0       0       0      0      0
loop3      0      0       0       0      0      0       0       0      0      0
loop4      0      0       0       0      0      0       0       0      0      0
loop5      0      0       0       0      0      0       0       0      0      0
loop6      0      0       0       0      0      0       0       0      0      0
loop7      0      0       0       0      0      0       0       0      0      0
zzz ***Sun Mar 7 06:38:57 EST 2021
disk- ------------reads------------ ------------writes----------- -----IO------
       total merged sectors      ms  total merged sectors      ms    cur    sec
sda   208578 101795 50342379  974505 1418096  98969 286334833 1464532      0   1362
sdb    12300    177 1057901   99544 227909  64776 35726560 9052759      0   1430
sdc   110279    391 96037140 1056243 311628  51392 686361251 50599153      0   2240
